code,Count_Star
TX,185050
IL,65208
OR,32881
WI,22039
NC,48434
IA,11382
NY,187579
FL,134683
MD,35694
AL,15886
ID,6932
VT,3804
HI,8702
DE,4151
CA,256023
OH,51506
MA,54687
NJ,42739
MT,4442
SD,2093
KS,14231
RI,4783
IN,21478
LA,18130
ND,4389
NM,11951
MO,26826
AK,4246
CO,36244
AZ,53870
KY,16742
TN,34731
WA,43319
MI,42907
UT,11948
MN,25629
WV,6638
CT,17209
AR,8656
NE,8013
OK,14858
MS,6274
SC,19528
,81560
PA,60770
VA,39949
GA,53065
NV,25349
ME,7989
NH,5854
WY,5353
